Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11976507
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11976318
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11976232
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11976084
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11975485
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11975307
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11975212
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11974910
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11974166
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11972493
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11971831
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11970989
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11970533
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11968884
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11968811
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11968686
  No Issue Stated (Dropped Off)              [R]  Open      23 Mar, 26     #11968326
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11967502
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11965422
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11965326
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11965245
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11964105
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11963726
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11963067
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962984
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962834
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962754
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962735
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962465
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962458
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11962449
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11961990
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11961808
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11961372
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11961237
  No Issue Stated (Dropped Off)              [R]  Open      23 Mar, 26     #11961032
  No Issue Stated (Dropped Off)                   Open      23 Mar, 26     #11961021
  No Issue Stated (Dropped Off)                   Open      22 Mar, 26     #11958693
  No Issue Stated (Dropped Off)                   Open      21 Mar, 26     #11955113
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11954276
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11954158
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11954157
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953977
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953950
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953948
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953775
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953595
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11953589
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11952841
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11950748
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11950558
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11950447
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11950042
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11949839
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11949739
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11949479
  No Issue Stated (Dropped Off)                   Open      20 Mar, 26     #11949261
  No Issue Stated (Dropped Off)                   Open      19 Mar, 26     #11946716
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11941330
  No Issue Stated (Dropped Off)              [R]  Open      18 Mar, 26     #11940803
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11940449
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11940006
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939992
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939880
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939852
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939846
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939546
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11939365
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11937563
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11934523
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11934441
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11933798
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11933779
  No Issue Stated (Dropped Off)                   Open      18 Mar, 26     #11933757
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11926105
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11925568
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11925054
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11921172
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11918674
  No Issue Stated (Dropped Off)              [R]  Open      17 Mar, 26     #11918461
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11918117
  No Issue Stated (Dropped Off)                   Open      17 Mar, 26     #11917745
  No Issue Stated (Dropped Off)              [R]  Open      17 Mar, 26     #11915110
  No Issue Stated (Dropped Off)              [R]  Open      17 Mar, 26     #11914802
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11910092
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11909888
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11908547
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11906542
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11906379
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11905009
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11904843
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11903474
  No Issue Stated (Dropped Off)              [R]  Open      16 Mar, 26     #11903164
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11902838
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11902830
  No Issue Stated (Dropped Off)                   Open      16 Mar, 26     #11901217
  No Issue Stated (Dropped Off)              [R]  Open      16 Mar, 26     #11899097
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11892187
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11891662
  No Issue Stated (Dropped Off)              [R]  Open      13 Mar, 26     #11888459
  No Issue Stated (Dropped Off)              [R]  Open      13 Mar, 26     #11887369
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11886901
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11886440
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11886265
  No Issue Stated (Dropped Off)              [R]  Open      13 Mar, 26     #11885785
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11884353
  No Issue Stated (Dropped Off)                   Open      13 Mar, 26     #11883181
  No Issue Stated (Dropped Off)              [R]  Open      13 Mar, 26     #11883146
  No Issue Stated (Dropped Off)                   Open      12 Mar, 26     #11880594
  No Issue Stated (Dropped Off)              [R]  Open      12 Mar, 26     #11878884
  No Issue Stated (Dropped Off)              [R]  Open      12 Mar, 26     #11878131
  No Issue Stated (Dropped Off)                   Open      12 Mar, 26     #11875613
  No Issue Stated (Dropped Off)                   Open      12 Mar, 26     #11871078
  No Issue Stated (Dropped Off)                   Open      12 Mar, 26     #11870217
  No Issue Stated (Dropped Off)                   Open      11 Mar, 26     #11863686
  No Issue Stated (Dropped Off)                   Open      11 Mar, 26     #11862856
  No Issue Stated (Dropped Off)                   Open      11 Mar, 26     #11855796
  No Issue Stated (Dropped Off)                   Open      10 Mar, 26     #11843182
  No Issue Stated (Dropped Off)                   Open      09 Mar, 26     #11833330
  No Issue Stated (Dropped Off)                   Open      09 Mar, 26     #11832104
  No Issue Stated (Dropped Off)                   Open      09 Mar, 26     #11826466
  No Issue Stated (Dropped Off)                   Open      06 Mar, 26     #11815070
  No Issue Stated (Dropped Off)                   Open      05 Mar, 26     #11804804
  No Issue Stated (Dropped Off)                   Open      05 Mar, 26     #11804639
  No Issue Stated (Dropped Off)                   Open      05 Mar, 26     #11802594
  No Issue Stated (Dropped Off)                   Open      05 Mar, 26     #11801206
  No Issue Stated (Dropped Off)                   Open      04 Mar, 26     #11789314
  No Issue Stated (Dropped Off)                   Open      04 Mar, 26     #11786420
  No Issue Stated (Dropped Off)              [R]  Open      04 Mar, 26     #11785874
  No Issue Stated (Dropped Off)              [R]  Open      04 Mar, 26     #11785305
  No Issue Stated (Dropped Off)                   Open      02 Mar, 26     #11775843
  No Issue Stated (Dropped Off)                   Open      02 Mar, 26     #11769286
  No Issue Stated (Dropped Off)              [R]  Open      27 Feb, 26     #11756278
  No Issue Stated (Dropped Off)                   Open      27 Feb, 26     #11753813
  No Issue Stated (Dropped Off)                   Open      25 Feb, 26     #11733214

  Ticket IDs:
  #12009605   #12009599   #12009593   #12009560   #12009553   #12009479   #12009477   #12009412
  #12009406   #12009390   #12009376   #12009365   #12009331   #12009325   #12009311   #12009228
  #12009203   #12009146   #12009123   #12009121   #12009031   #12008960   #12008953   #12008942
  #12008877   #12008848   #12008847   #12008823   #12008805   #12008749   #12008742   #12008737
  #12008711   #12008689   #12008663   #12008660   #12008642   #12008510   #12008509   #12008422
  #12008315   #12008314   #12008105   #12008075   #12007960   #12007939   #12007799   #12007670
  #12007625   #12007621   #12007519   #12007495   #12007485   #12007374   #12007330   #12007276
  #12007260   #12007213   #12007205   #12007155   #12007052   #12007049   #12007037   #12007021
  #12006907   #12006804   #12006777   #12006744   #12006708   #12006683   #12006680   #12006509
  #12006250   #12006025   #12005844   #12005730   #12005727   #12005256   #12005076   #12005009
  #12004993   #12004953   #12004950   #12004741   #12004686   #12004605   #12004492   #12004387
  #12004261   #12004228   #12004195   #12004182   #12004154   #12004151   #12004089   #12004012
  #12003862   #12003728   #12003713   #12003642   #12003584   #12003566   #12003561   #12003478
  #12003456   #12003452   #12003432   #12003396   #12003272   #12003220   #12003126   #12003014
  #12002981   #12002948   #12002908   #12002869   #12002847   #12002833   #12002762   #12002722
  #12002673   #12002650   #12002537   #12002495   #12002471   #12002414   #12002272   #12002268
  #12002225   #12002215   #12002192   #12002184   #12001999   #12001778   #12001703   #12001607
  #12001594   #12001479   #12001478   #12001475   #12001473   #12001223   #12001127   #12001054
  #12001053   #12000645   #12000551   #12000450   #12000213   #12000191   #12000170   #12000104
